ID,_RAJ2000,_DEJ2000,Prot,eup,edn,Porb,Teff,Teff_unc,feh,feh_unc,density,density_ehi,density_elo,density_unc,ra,dec,source_id,parallax,parallax_error,astrometric_gof_al,G_mag,BP_mag,RP_mag,V_mag,Vmag_unc,B_mag,Bmag_unc,g_mag,g_mag_unc,r_mag,r_mag_unc,i_mag,i_mag_unc,w1_mag,w1_mag_unc,w2_mag,w2_mag_unc,w3_mag,w3_mag_unc,w4_mag,w4_mag_unc,J_mag,J_mag_unc,H_mag,H_mag_unc,Ks_mag,Ks_mag_unc
CoRoT-2,19:27:06.49,+01:23:01.3,4.522,0.024,0.024,1.7429981,5598,50.0,0.04,0.05000000074505806,1.362,0.064,0.064,0.06400000303983688,291.77704166666666,1.3836944444444446,4287820848378092672,4.660755708884599,0.053607638189084296,-0.98207253,12.248889,12.739291,11.615787,12.347,0.129,13.346,0.083,12.913,0.039,12.012,0.143,11.789,0.087,10.064,0.023,10.098,0.019,10.189,0.074,9.035,,10.783,0.028,10.438,0.037,10.31,0.031
CoRoT-4,06:48:46.71,-00:40:21.9,8.87,1.12,1.12,9.20205,6190,60.0,0.05,0.07000000029802322,0.79,0.064,0.161,0.11249999701976776,102.194625,-0.6727499999999997,3113201890547554432,1.348443394473832,0.02797649304064403,-1.8274612,13.561308,13.868187,13.099143,13.682,0.024,14.272,0.032,13.919,0.015,13.554,0.018,13.411,0.035,12.194,0.022,12.246,0.024,12.152,0.354,8.832,,12.619,0.026,12.359,0.029,12.288,0.03
CoRoT-6,18:44:17.40,+06:39:47.5,6.4,0.5,0.5,8.886593,6090,70.0,-0.2,0.10000000149011612,0.929,0.064,0.064,0.06400000303983688,281.07249999999993,6.663194444444445,4285684673395749120,1.5215206138123114,0.029124876501859902,-3.4676304,13.745856,14.137218,13.184202,13.995,0.005,14.691,0.032,14.282,0.02,13.796,0.034,,,12.127,0.026,12.178,0.028,12.07,,8.907,,12.518,0.024,12.228,0.022,12.119,0.024
CoRoT-7,06:43:49.46,-01:03:46.8,23.64,3.62,3.62,0.853585,5313,73.0,0.03,0.07000000029802322,1.671,0.073,0.073,0.0729999989271164,100.95608333333335,-1.0629999999999995,3107267177757848576,6.225038629312501,0.03539387253964507,3.6224155,11.523852,11.964587,10.951664,11.713,0.01,12.542,0.034,12.066,0.017,11.473,0.026,11.28,0.027,9.76,0.022,9.824,0.019,9.782,0.064,7.926,,10.301,0.024,9.88,0.022,9.806,0.021
CoRoT-13,06:50:53.07,-05:05:11.1,13.0,5.0,3.0,4.03519,5945,90.0,0.01,0.07000000029802322,0.526,0.072,0.072,0.07199999690055847,102.72112500000003,-5.086416666666664,3101974231859723776,0.8439467053374567,0.04362285303111653,-1.2465826,14.914685,15.300207,14.365625,,,,,,,,,,,13.17,0.025,13.217,0.03,12.615,,8.946,,13.71,0.024,13.406,0.029,13.376,0.039
CoRoT-18,06:32:41.37,-00:01:53.7,5.4,0.4,0.4,1.9000693,5440,100.0,-0.1,0.10000000149011612,1.09,0.16,0.16,0.1599999964237213,98.17237500000005,-0.03158333333333297,3120058170178779392,1.2806297233924493,0.04522000930326973,-1.8266772,14.800873,15.258296,14.189863,,,,,,,,,,,12.955,0.025,12.955,0.029,11.968,,8.771,,13.441,0.024,13.081,0.031,13.014,0.03
HAT-P-21,11:25:05.98,+41:01:40.6,15.9,0.8,0.8,4.124481,5634,67.0,0.04,0.07999999821186066,0.7,0.15,0.15,0.15000000596046448,171.27491666666668,41.02794444444446,770622651659107712,3.5780679407503397,0.041044470442616235,8.10887,11.558328,11.921317,11.058517,11.689,0.038,12.46,0.075,12.003,0.06,11.555,0.044,11.291,0.057,10.073,0.024,10.112,0.021,10.021,0.056,9.158,,10.503,0.022,10.154,0.019,10.111,0.018
HATS-2,11:46:57.37,-22:33:46.8,24.98,0.04,0.04,1.354133,5227,95.0,0.15,0.05000000074505806,1.22,0.06,0.06,0.05999999865889549,176.73904166666668,-22.562999999999995,3492502001623237888,2.8960587799021265,0.030864594077054622,-5.1090035,13.341914,13.84844,12.690109,13.616,0.063,14.53,0.049,14.024,0.057,13.286,0.045,13.104,0.151,11.285,0.024,11.333,0.022,11.357,0.196,8.812,,11.906,0.024,11.475,0.023,11.386,0.023
HD_209458,22:03:10.77,+18:53:03.5,10.65,0.75,0.75,3.52474859,6117,50.0,0.02,0.05000000074505806,0.733,0.008,0.008,0.00800000037997961,330.79487500000005,18.884305555555557,1779546757669063552,20.674505706317635,0.05262518733928407,6.5611157,7.5086603,7.8127136,7.0896487,7.661,0.0,8.168,0.0,8.149,0.0,7.607,0.0,7.397,0.0,6.308,0.091,6.191,0.027,6.32,0.016,6.265,0.053,6.591,0.02,6.366,0.038,6.308,0.026
Kepler-17,19:53:34.86,+47:48:54.0,12.1,1.565,1.565,1.48571091,5781,85.0,0.26,0.10000000149011612,1.121,0.015,0.034,0.024500001221895218,298.39525000000003,47.81499999999999,2086449761846310784,1.3588599128195744,0.01975662083039192,0.7311471,14.1310835,14.524993,13.58686,14.277,0.047,14.99,0.174,14.576,0.19,14.058,0.111,13.81,0.185,12.55,0.023,12.594,0.022,12.291,0.216,8.715,,12.992,0.021,12.67,0.017,12.585,0.023
