id,ra,dec,B_mag,B_mag_unc,V_mag,V_mag_unc,g_mag,g_mag_unc,r_mag,r_mag_unc,i_mag,i_mag_unc,z_mag,z_mag_unc,J_mag,J_mag_unc,H_mag,H_mag_unc,K_mag,K_mag_unc,G_mag,G_mag_unc,Bp_mag,Bp_mag_unc,Rp_mag,Rp_mag_unc,parallax,parallax_unc,GaiaID
EPIC201092629,181.239357,-6.804924,12.414,0.254,11.97,0.226,12.336,0.01,11.697,0.02,11.653,0.21,,,10.442,0.024,9.988,0.022,9.933,0.023,11.7562,0.0005,12.2033,0.001,11.1668,0.0007,0.0066622,4.82e-05,3594882751966012160
EPIC201102594,179.835908,-6.517851,18.047,0.3,16.588,0.08,17.34,0.01,15.978,0.01,14.876,0.49,,,12.621,0.022,12.015,0.023,11.777,0.024,15.3818,0.0005,16.7912,0.0044,14.2079,0.0014,0.0091259,5.17e-05,3595647565382917120
EPIC201110617,182.700187,-6.294205,14.637,0.03,13.424,0.01,14.049,0.01,12.915,0.02,12.475,0.02,,,11.139,0.03,10.572,0.026,10.391,0.023,12.9484,0.0006,13.6627,0.0017,12.1473,0.0011,0.0066289,4.74e-05,3596250888028092160
EPIC201111557,183.846543,-6.268236,12.737,0.03,11.728,0.03,12.217,0.04,11.315,0.01,10.997,0.07,,,9.873,0.023,9.391,0.023,9.22,0.019,11.3995,0.0013,11.9873,0.0012,10.7189,0.0009,0.0102616,4.8599999999999995e-05,3596276829630866432
EPIC201126503,175.938421,-5.873002,,,,,,,,,,,,,15.073,0.038,14.42,0.055,14.23,0.07,17.8892,0.0017,19.2488,0.0439,16.6733,0.0081,0.0034345,0.00020030000000000002,3598754063687508480
EPIC201127519,181.372066,-5.848084,12.787,0.02,11.775,0.03,12.254,0.02,11.401,0.03,11.26,0.16,,,10.014,0.023,9.569,0.027,9.43,0.021,11.4806,0.0005,12.0333,0.0011,10.8118,0.0009,0.0084675,5.53e-05,3597255188821238016
EPIC201128338,181.632802,-5.82741,15.098,0.06,13.728,0.02,14.453,0.02,13.125,0.03,12.539,0.08,,,10.956,0.026,10.277,0.023,10.096,0.021,13.0383,0.0005,13.9476,0.0018,12.1076,0.001,0.0091921,3.48e-05,3596508242468505216
EPIC201130233,183.751337,-5.781991,13.609,0.01,12.823,0.02,13.162,0.01,12.582,0.02,12.365,0.06,,,11.398,0.022,11.023,0.022,10.98,0.023,12.6419,0.0002,13.0618,0.0008,12.0766,0.0006,0.0033236,5.04e-05,3596333042162818304
EPIC201132684,179.939989,-5.721709,12.336,0.208,11.774,0.174,12.119,0.03,11.571,0.01,11.49,0.21,,,10.432,0.024,10.051,0.021,9.974,0.021,11.6134,0.0005,12.0214,0.0009,11.0672,0.0005,0.0050403,5.2e-05,3596003497911958528
EPIC201155177,176.665722,-5.171913,16.096,0.07,15.023,0.02,15.558,0.03,14.585,0.02,14.235,0.05,,,12.982,0.023,12.398,0.024,12.284,0.019,14.6336,0.0003,15.247,0.0016,13.8981,0.0007,0.0024915,4.91e-05,3599651986730350464
EPIC201164625,181.593666,-4.946688,12.012,0.136,11.461,0.114,12.104,0.01,11.858,0.03,11.767,0.04,,,11.002,0.024,10.791,0.027,10.777,0.023,11.8357,0.0003,12.0941,0.001,11.4319,0.0006,0.0009394000000000001,4.0300000000000004e-05,3597373244585991936
EPIC201166680,181.121405,-4.899185,11.507,0.097,10.97,0.096,11.044,0.01,10.848,0.02,10.857,0.21,,,9.852,0.022,9.637,0.023,9.591,0.021,10.7424,0.0004,11.0246,0.0007,10.3274,0.0006,0.0037191,4.84e-05,3597570989175080576
EPIC201176672,169.150206,-4.656546,15.355,0.09,14.318,0.03,14.875,0.05,13.932,0.05,13.596,0.04,,,12.315,0.027,11.741,0.023,11.604,0.023,13.9651,0.0004,14.5474,0.002,13.2373,0.0007,0.0029716,6.62e-05,3786782921542870528
EPIC201180665,184.169809,-4.56036,13.881,0.01,13.265,0.03,13.466,0.02,13.091,0.08,12.915,0.04,,,12.008,0.024,11.686,0.024,11.65,0.019,13.0873,0.0005,13.4242,0.0014,12.5948,0.0013,0.0016344,2.46e-05,3597117268831903872
EPIC201182911,172.710419,-4.507613,17.939,0.13,16.341,0.07,16.864,0.06,15.697,0.02,14.938,0.01,,,13.238,0.027,12.544,0.022,12.335,0.027,15.4518,0.0011,16.4259,0.0075,14.4678,0.0032,0.0029519000000000004,5.9e-05,3786283056068678912
EPIC201197348,177.094973,-4.164393,16.819,0.06,15.52,0.05,16.227,0.01,14.988,0.03,14.667,0.15,,,13.239,0.024,12.585,0.022,12.424,0.027,15.0437,0.0003,15.7586,0.0015,14.2329,0.0008,0.0027488,4.31e-05,3600148038273461632
EPIC201205469,169.117142,-3.97544,17.254,0.1,15.596,0.05,16.504,0.09,15.037,0.04,14.194,0.04,,,12.422,0.024,11.712,0.024,11.577,0.024,14.8215,0.0009,15.8853,0.0052,13.7947,0.0017,0.0054503,5.69e-05,3789847707126025600
EPIC201208431,174.74564,-3.905585,16.229,0.05,14.907,0.03,15.601,0.04,14.298,0.07,13.898,0.12,,,12.367,0.022,11.747,0.024,11.571,0.023,14.3403,0.0004,15.1457,0.0024,13.4728,0.001,0.0042851,3.9e-05,3792100950048409344
EPIC201211526,183.468913,-3.831868,12.201,0.178,11.78,0.176,12.024,0.01,11.663,0.03,11.556,0.07,,,10.555,0.024,10.235,0.023,10.163,0.023,11.6317,0.0006,11.9802,0.0012,11.1338,0.0007,0.0046689,5.24e-05,3597981377595128704
EPIC201225286,180.540899,-3.580723,12.57,0.267,11.994,0.206,12.149,0.02,11.657,0.04,11.549,0.1,,,10.462,0.024,10.072,0.021,9.978,0.021,11.6397,0.0006,12.0575,0.001,11.0865,0.0007,0.0058197,4.8e-05,3600851450836925312
